FL_DATE,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 28
2018-08-01,21167,N213NN,6040,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1400,1352.0,-8.0,0.0,1504.0,-23.0,0.0,0.0,,87.0,72.0,,,,,,
2018-08-01,21167,N213NN,6040,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1610,1605.0,-5.0,0.0,1744.0,-12.0,0.0,0.0,,106.0,99.0,,,,,,
2018-08-01,21167,N215NN,6041,12892,1289208,32575,LAX,14771,1477104,32457,SFO,800,755.0,-5.0,0.0,942.0,2.0,2.0,0.0,,100.0,107.0,,,,,,
2018-08-01,21167,N215NN,6041,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1010,1011.0,1.0,1.0,1200.0,4.0,4.0,0.0,,106.0,109.0,,,,,,
2018-08-01,21167,N200NN,6043,12892,1289208,32575,LAX,14679,1467903,33570,SAN,2145,2143.0,-2.0,0.0,2236.0,3.0,3.0,0.0,,48.0,53.0,,,,,,
2018-08-01,21167,N218NN,6045,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1530,1523.0,-7.0,0.0,1633.0,-24.0,0.0,0.0,,87.0,70.0,,,,,,
2018-08-01,21167,N218NN,6045,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1740,1735.0,-5.0,0.0,1911.0,-16.0,0.0,0.0,,107.0,96.0,,,,,,
2018-08-01,21167,N219NN,6059,12892,1289208,32575,LAX,14831,1483106,32457,SJC,1945,1942.0,-3.0,0.0,2050.0,-8.0,0.0,0.0,,73.0,68.0,,,,,,
2018-08-01,21167,N219NN,6059,14831,1483106,32457,SJC,12892,1289208,32575,LAX,2130,2121.0,-9.0,0.0,2247.0,-17.0,0.0,0.0,,94.0,86.0,,,,,,
2018-08-01,21167,N216NN,6062,14679,1467903,33570,SAN,12892,1289208,32575,LAX,620,613.0,-7.0,0.0,714.0,-5.0,0.0,0.0,,59.0,61.0,,,,,,
2018-08-01,21167,N215NN,6066,12892,1289208,32575,LAX,14893,1489302,33192,SMF,2225,2223.0,-2.0,0.0,2345.0,-5.0,0.0,0.0,,85.0,82.0,,,,,,
2018-08-01,21167,N206NN,6067,14771,1477104,32457,SFO,12892,1289208,32575,LAX,700,654.0,-6.0,0.0,835.0,-21.0,0.0,0.0,,116.0,101.0,,,,,,
2018-08-01,21167,N207AN,6073,12892,1289208,32575,LAX,14679,1467903,33570,SAN,1830,1824.0,-6.0,0.0,1911.0,-7.0,0.0,0.0,,48.0,47.0,,,,,,
2018-08-01,21167,N207AN,6073,14679,1467903,33570,SAN,12892,1289208,32575,LAX,1958,1950.0,-8.0,0.0,2051.0,-7.0,0.0,0.0,,60.0,61.0,,,,,,
2018-08-01,21167,N212NN,6081,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1100,1057.0,-3.0,0.0,1214.0,-17.0,0.0,0.0,,91.0,77.0,,,,,,
2018-08-01,21167,N212NN,6081,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1310,1306.0,-4.0,0.0,1438.0,-14.0,0.0,0.0,,102.0,92.0,,,,,,
2018-08-01,21167,N204NN,6085,12892,1289208,32575,LAX,14771,1477104,32457,SFO,2130,2135.0,5.0,5.0,2302.0,4.0,4.0,0.0,,88.0,87.0,,,,,,
2018-08-01,21167,N203NN,6089,12892,1289208,32575,LAX,14679,1467903,33570,SAN,935,936.0,1.0,1.0,1054.0,18.0,18.0,0.0,,61.0,78.0,0.0,0.0,17.0,0.0,1.0,
2018-08-01,21167,N203NN,6089,14679,1467903,33570,SAN,12892,1289208,32575,LAX,1106,1133.0,27.0,27.0,1223.0,17.0,17.0,0.0,,60.0,50.0,6.0,0.0,0.0,0.0,11.0,
2018-08-01,21167,N205NN,6094,14893,1489302,33192,SMF,12892,1289208,32575,LAX,655,647.0,-8.0,0.0,821.0,-29.0,0.0,0.0,,115.0,94.0,,,,,,
2018-08-01,21167,N208AN,6095,12892,1289208,32575,LAX,14831,1483106,32457,SJC,2135,2132.0,-3.0,0.0,2307.0,19.0,19.0,0.0,,73.0,95.0,0.0,0.0,19.0,0.0,0.0,
2018-08-01,19790,N3752,329,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1105,1104.0,-1.0,0.0,1226.0,-19.0,0.0,0.0,,100.0,82.0,,,,,,
2018-08-01,19790,N375DA,340,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1727,1813.0,46.0,46.0,1945.0,36.0,36.0,0.0,,102.0,92.0,1.0,0.0,8.0,0.0,27.0,
2018-08-01,19790,N3764D,523,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1910,1906.0,-4.0,0.0,2039.0,-21.0,0.0,0.0,,110.0,93.0,,,,,,
2018-08-01,19790,N3749D,548,14771,1477104,32457,SFO,12892,1289208,32575,LAX,930,926.0,-4.0,0.0,1058.0,-13.0,0.0,0.0,,101.0,92.0,,,,,,
2018-08-01,19790,N384DA,679,12892,1289208,32575,LAX,14771,1477104,32457,SFO,2035,2035.0,0.0,0.0,2157.0,-9.0,0.0,0.0,,91.0,82.0,,,,,,
2018-08-01,19790,N949AT,803,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1000,959.0,-1.0,0.0,1115.0,-30.0,0.0,0.0,,105.0,76.0,,,,,,
2018-08-01,19790,N3749D,838,12892,1289208,32575,LAX,14771,1477104,32457,SFO,700,656.0,-4.0,0.0,809.0,-31.0,0.0,0.0,,100.0,73.0,,,,,,
2018-08-01,19790,N3752,896,12892,1289208,32575,LAX,14771,1477104,32457,SFO,830,826.0,-4.0,0.0,949.0,-26.0,0.0,0.0,,105.0,83.0,,,,,,
2018-08-01,19790,N989DN,1220,14679,1467903,33570,SAN,12892,1289208,32575,LAX,615,615.0,0.0,0.0,719.0,0.0,0.0,0.0,,64.0,64.0,,,,,,
2018-08-01,19790,N955AT,1568,13796,1379608,32457,OAK,12892,1289208,32575,LAX,600,553.0,-7.0,0.0,710.0,-22.0,0.0,0.0,,92.0,77.0,,,,,,
2018-08-01,19790,N3752,1632,14771,1477104,32457,SFO,12892,1289208,32575,LAX,600,557.0,-3.0,0.0,719.0,-24.0,0.0,0.0,,103.0,82.0,,,,,,
2018-08-01,19790,N382DA,1722,14771,1477104,32457,SFO,12892,1289208,32575,LAX,720,717.0,-3.0,0.0,857.0,-3.0,0.0,0.0,,100.0,100.0,,,,,,
2018-08-01,19790,N3738B,1879,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1300,1304.0,4.0,4.0,1416.0,-20.0,0.0,0.0,,96.0,72.0,,,,,,
2018-08-01,19790,N375DA,1904,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1510,1602.0,52.0,52.0,1718.0,35.0,35.0,0.0,,93.0,76.0,35.0,0.0,0.0,0.0,0.0,
2018-08-01,19790,N895AT,1982,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1300,1257.0,-3.0,0.0,1414.0,-21.0,0.0,0.0,,95.0,77.0,,,,,,
2018-08-01,19790,N895AT,2003,12892,1289208,32575,LAX,14679,1467903,33570,SAN,2130,2125.0,-5.0,0.0,2239.0,9.0,9.0,0.0,,60.0,74.0,,,,,,
2018-08-01,19790,N3764D,2151,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1700,1658.0,-2.0,0.0,1820.0,-10.0,0.0,0.0,,90.0,82.0,,,,,,
2018-08-01,19790,N3763D,2168,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1845,1839.0,-6.0,0.0,2003.0,-13.0,0.0,0.0,,91.0,84.0,,,,,,
2018-08-01,19790,N989DN,2353,12892,1289208,32575,LAX,13796,1379608,32457,OAK,2150,2148.0,-2.0,0.0,2256.0,-16.0,0.0,0.0,,82.0,68.0,,,,,,
2018-08-01,19790,N3738B,2914,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1530,1524.0,-6.0,0.0,1636.0,-34.0,0.0,0.0,,100.0,72.0,,,,,,
2018-08-01,20304,N750SK,2960,12892,1289208,32575,LAX,14679,1467903,33570,SAN,800,757.0,-3.0,0.0,843.0,-13.0,0.0,0.0,,56.0,46.0,,,,,,
2018-08-01,20304,N750SK,2960,14679,1467903,33570,SAN,12892,1289208,32575,LAX,933,924.0,-9.0,0.0,1020.0,-12.0,0.0,0.0,,59.0,56.0,,,,,,
2018-08-01,20304,N750SK,3007,12892,1289208,32575,LAX,14679,1467903,33570,SAN,1640,1638.0,-2.0,0.0,1723.0,-7.0,0.0,0.0,,50.0,45.0,,,,,,
2018-08-01,20304,N750SK,3007,14679,1467903,33570,SAN,12892,1289208,32575,LAX,1806,1759.0,-7.0,0.0,1844.0,-20.0,0.0,0.0,,58.0,45.0,,,,,,
2018-08-01,20304,N174SY,3310,12892,1289208,32575,LAX,14831,1483106,32457,SJC,1958,1941.0,-17.0,0.0,2055.0,-37.0,0.0,0.0,,94.0,74.0,,,,,,
2018-08-01,20304,N402SY,3311,14831,1483106,32457,SJC,12892,1289208,32575,LAX,625,621.0,-4.0,0.0,740.0,-13.0,0.0,0.0,,88.0,79.0,,,,,,
2018-08-01,20304,N402SY,3312,12892,1289208,32575,LAX,14831,1483106,32457,SJC,845,836.0,-9.0,0.0,947.0,-23.0,0.0,0.0,,85.0,71.0,,,,,,
2018-08-01,20304,N186SY,3315,14831,1483106,32457,SJC,12892,1289208,32575,LAX,1050,1042.0,-8.0,0.0,1217.0,-1.0,0.0,0.0,,88.0,95.0,,,,,,
2018-08-01,20304,N191SY,3316,12892,1289208,32575,LAX,14831,1483106,32457,SJC,1200,1155.0,-5.0,0.0,1317.0,-17.0,0.0,0.0,,94.0,82.0,,,,,,
2018-08-01,20304,N189SY,3317,14831,1483106,32457,SJC,12892,1289208,32575,LAX,1456,1511.0,15.0,15.0,1633.0,9.0,9.0,0.0,,88.0,82.0,,,,,,
2018-08-01,20304,N186SY,3318,12892,1289208,32575,LAX,14831,1483106,32457,SJC,1515,1503.0,-12.0,0.0,1618.0,-31.0,0.0,0.0,,94.0,75.0,,,,,,
2018-08-01,20304,N174SY,3319,14831,1483106,32457,SJC,12892,1289208,32575,LAX,1745,1734.0,-11.0,0.0,1859.0,-14.0,0.0,0.0,,88.0,85.0,,,,,,
2018-08-01,20304,N181SY,3340,14679,1467903,33570,SAN,14893,1489302,33192,SMF,615,615.0,0.0,0.0,806.0,7.0,7.0,0.0,,104.0,111.0,,,,,,
2018-08-01,20304,N183SY,3342,14679,1467903,33570,SAN,14893,1489302,33192,SMF,1220,1219.0,-1.0,0.0,1354.0,-3.0,0.0,0.0,,97.0,95.0,,,,,,
2018-08-01,20304,N183SY,3343,14893,1489302,33192,SMF,14679,1467903,33570,SAN,1442,1435.0,-7.0,0.0,1606.0,-10.0,0.0,0.0,,94.0,91.0,,,,,,
2018-08-01,20304,N178SY,3344,14679,1467903,33570,SAN,14893,1489302,33192,SMF,1723,1717.0,-6.0,0.0,1850.0,-12.0,0.0,0.0,,99.0,93.0,,,,,,
2018-08-01,20304,N178SY,3345,14893,1489302,33192,SMF,14679,1467903,33570,SAN,1945,1935.0,-10.0,0.0,2102.0,-15.0,0.0,0.0,,92.0,87.0,,,,,,
2018-08-01,20304,N196SY,3356,14831,1483106,32457,SJC,14679,1467903,33570,SAN,700,657.0,-3.0,0.0,824.0,-5.0,0.0,0.0,,89.0,87.0,,,,,,
2018-08-01,20304,N191SY,3357,14679,1467903,33570,SAN,14831,1483106,32457,SJC,2050,2045.0,-5.0,0.0,2204.0,-11.0,0.0,0.0,,85.0,79.0,,,,,,
2018-08-01,20304,N177SY,3370,14771,1477104,32457,SFO,14908,1490803,32575,SNA,615,611.0,-4.0,0.0,744.0,-16.0,0.0,0.0,,105.0,93.0,,,,,,
2018-08-01,20304,N177SY,3371,14908,1490803,32575,SNA,14771,1477104,32457,SFO,840,830.0,-10.0,0.0,1006.0,-12.0,0.0,0.0,,98.0,96.0,,,,,,
2018-08-01,20304,N183SY,3396,14831,1483106,32457,SJC,14679,1467903,33570,SAN,1005,959.0,-6.0,0.0,1126.0,-8.0,0.0,0.0,,89.0,87.0,,,,,,
2018-08-01,20304,N192SY,3397,14679,1467903,33570,SAN,14831,1483106,32457,SJC,700,653.0,-7.0,0.0,829.0,-4.0,0.0,0.0,,93.0,96.0,,,,,,
2018-08-01,20304,N402SY,3398,14831,1483106,32457,SJC,14679,1467903,33570,SAN,1414,1405.0,-9.0,0.0,1526.0,-14.0,0.0,0.0,,86.0,81.0,,,,,,
2018-08-01,20304,N189SY,3399,14679,1467903,33570,SAN,14831,1483106,32457,SJC,1225,1246.0,21.0,21.0,1402.0,9.0,9.0,0.0,,88.0,76.0,,,,,,
2018-08-01,20304,N186SY,3400,14831,1483106,32457,SJC,14908,1490803,32575,SNA,632,623.0,-9.0,0.0,752.0,-7.0,0.0,0.0,,87.0,89.0,,,,,,
2018-08-01,20304,N402SY,3407,14679,1467903,33570,SAN,14831,1483106,32457,SJC,1624,1612.0,-12.0,0.0,1739.0,-9.0,0.0,0.0,,84.0,87.0,,,,,,
2018-08-01,20304,N191SY,3408,14831,1483106,32457,SJC,14679,1467903,33570,SAN,1839,1832.0,-7.0,0.0,1953.0,-12.0,0.0,0.0,,86.0,81.0,,,,,,
2018-08-01,20304,N186SY,3409,14908,1490803,32575,SNA,14831,1483106,32457,SJC,840,832.0,-8.0,0.0,945.0,-13.0,0.0,0.0,,78.0,73.0,,,,,,
2018-08-01,20304,N191SY,3410,14831,1483106,32457,SJC,14908,1490803,32575,SNA,1447,1438.0,-9.0,0.0,1607.0,-3.0,0.0,0.0,,83.0,89.0,,,,,,
2018-08-01,20304,N191SY,3411,14908,1490803,32575,SNA,14831,1483106,32457,SJC,1650,1643.0,-7.0,0.0,1804.0,-2.0,0.0,0.0,,76.0,81.0,,,,,,
2018-08-01,20304,N402SY,3412,14831,1483106,32457,SJC,14908,1490803,32575,SNA,1852,1843.0,-9.0,0.0,2005.0,-9.0,0.0,0.0,,82.0,82.0,,,,,,
2018-08-01,20304,N402SY,3413,14908,1490803,32575,SNA,14831,1483106,32457,SJC,2054,2044.0,-10.0,0.0,2219.0,8.0,8.0,0.0,,77.0,95.0,,,,,,
2018-08-01,20304,N178SY,3493,14893,1489302,33192,SMF,14679,1467903,33570,SAN,600,550.0,-10.0,0.0,718.0,-19.0,0.0,0.0,,97.0,88.0,,,,,,
2018-08-01,20304,N927SW,5186,13891,1389101,32575,ONT,14771,1477104,32457,SFO,924,934.0,10.0,10.0,1053.0,-7.0,0.0,0.0,,96.0,79.0,,,,,,
2018-08-01,20304,N205SY,5189,14893,1489302,33192,SMF,12892,1289208,32575,LAX,1525,1518.0,-7.0,0.0,1703.0,-6.0,0.0,0.0,,104.0,105.0,,,,,,
2018-08-01,20304,N957SW,5197,14771,1477104,32457,SFO,10800,1080003,32575,BUR,1345,1346.0,1.0,1.0,1503.0,-6.0,0.0,0.0,,84.0,77.0,,,,,,
2018-08-01,20304,N880AS,5198,12892,1289208,32575,LAX,14679,1467903,33570,SAN,900,857.0,-3.0,0.0,958.0,-3.0,0.0,0.0,,61.0,61.0,,,,,,
2018-08-01,20304,N957SW,5228,13891,1389101,32575,ONT,14771,1477104,32457,SFO,1150,1159.0,9.0,9.0,1315.0,-2.0,0.0,0.0,,87.0,76.0,,,,,,
2018-08-01,20304,N108SY,5231,10800,1080003,32575,BUR,14771,1477104,32457,SFO,1722,1741.0,19.0,19.0,1903.0,20.0,20.0,0.0,,81.0,82.0,2.0,0.0,1.0,0.0,17.0,
2018-08-01,20304,N131SY,5249,14771,1477104,32457,SFO,13891,1389101,32575,ONT,830,830.0,0.0,0.0,1003.0,4.0,4.0,0.0,,89.0,93.0,,,,,,
2018-08-01,20304,N165SY,5286,13891,1389101,32575,ONT,14771,1477104,32457,SFO,1642,1741.0,59.0,59.0,1850.0,41.0,41.0,0.0,,87.0,69.0,0.0,0.0,0.0,0.0,41.0,
2018-08-01,20304,N103SY,5331,14679,1467903,33570,SAN,12892,1289208,32575,LAX,615,610.0,-5.0,0.0,708.0,-16.0,0.0,0.0,,69.0,58.0,,,,,,
2018-08-01,20304,N701BR,5362,10800,1080003,32575,BUR,14771,1477104,32457,SFO,1330,1320.0,-10.0,0.0,1430.0,-24.0,0.0,0.0,,84.0,70.0,,,,,,
2018-08-01,20304,N110SY,5363,12892,1289208,32575,LAX,14771,1477104,32457,SFO,1730,1725.0,-5.0,0.0,1853.0,-12.0,0.0,0.0,,95.0,88.0,,,,,,
2018-08-01,20304,N134SY,5366,13891,1389101,32575,ONT,14771,1477104,32457,SFO,1935,1927.0,-8.0,0.0,2041.0,-21.0,0.0,0.0,,87.0,74.0,,,,,,
2018-08-01,20304,N957SW,5371,14771,1477104,32457,SFO,13891,1389101,32575,ONT,940,1006.0,26.0,26.0,1139.0,30.0,30.0,0.0,,89.0,93.0,24.0,0.0,4.0,0.0,2.0,
2018-08-01,20304,N780SK,5376,14893,1489302,33192,SMF,14771,1477104,32457,SFO,1110,1109.0,-1.0,0.0,1223.0,5.0,5.0,0.0,,68.0,74.0,,,,,,
2018-08-01,20304,N151SY,5415,12892,1289208,32575,LAX,14679,1467903,33570,SAN,1215,1218.0,3.0,3.0,1327.0,17.0,17.0,0.0,,55.0,69.0,0.0,0.0,14.0,3.0,0.0,
2018-08-01,20304,N131SY,5416,13891,1389101,32575,ONT,14771,1477104,32457,SFO,1035,1033.0,-2.0,0.0,1219.0,8.0,8.0,0.0,,96.0,106.0,,,,,,
2018-08-01,20304,N165SY,5422,14771,1477104,32457,SFO,13891,1389101,32575,ONT,1430,1551.0,81.0,81.0,1716.0,70.0,70.0,0.0,,96.0,85.0,56.0,0.0,0.0,0.0,14.0,
